,activity_type,date,title,distance,calories,avg_hr,max_hr,avg_speed,max_speed,total_ascent,total_descent,moving_time,elapsed_time,max_temp,min_temp,epoch
112,Cycling,2023-11-07 05:05:52,Des Moines Cycling,18.42,340,143,178,24.2,37.7,110,66,00:45:24,00:46:35,0.0,0.0,1699333552
113,Virtual Cycling,2023-11-06 17:23:55,Zwift - London 8 in London,20.7,422,--,--,30.0,74.6,260,--,00:40:55,00:41:25,0.0,0.0,1699291435
114,Cycling,2023-11-06 16:06:43,Windsor Heights Cycling,9.36,186,151,178,26.8,44.7,47,55,00:20:42,00:22:54,0.0,0.0,1699286803
115,Cycling,2023-11-06 15:33:28,Urbandale Cycling,9.39,157,129,177,25.0,36.5,17,52,00:22:24,00:23:54,0.0,0.0,1699284808
116,Cycling,2023-11-06 05:21:49,Des Moines Cycling,21.36,472,157,176,25.0,36.1,80,41,00:50:52,00:51:31,0.0,0.0,1699248109
117,Virtual Cycling,2023-11-05 18:01:25,Zwift - Duchy Estate in Yorkshire,5.25,111,--,--,33.4,59.0,70,--,00:09:22,00:09:24,0.0,0.0,1699207285
118,Virtual Cycling,2023-11-05 17:50:27,Zwift - Queen s Highway in Yorkshire,5.72,117,--,--,32.2,59.0,84,--,00:10:35,00:10:37,0.0,0.0,1699206627
119,Virtual Cycling,2023-11-05 17:25:07,Zwift - Tour Of Tewit Well in Yorkshire,11.23,248,--,--,28.4,62.6,204,--,00:23:41,00:23:43,0.0,0.0,1699205107
120,Virtual Cycling,2023-11-05 16:52:46,Zwift - 2019 UCI Worlds Harrogate Circuit in Yorkshire,14.12,286,--,--,27.9,80.4,247,--,00:30:22,00:30:22,0.0,0.0,1699203166
121,Cycling,2023-11-03 16:49:09,Des Moines Cycling,43.91,577,136,165,29.1,38.3,77,80,01:29:57,01:36:23,0.0,0.0,1699030149
122,Cycling,2023-11-03 15:25:16,Urbandale Cycling,21.74,357,144,175,28.7,42.7,42,87,00:45:13,00:47:14,0.0,0.0,1699025116
123,Cycling,2023-11-03 06:02:19,Des Moines Cycling,21.62,435,149,169,25.5,39.0,74,33,00:50:47,00:52:12,0.0,0.0,1698991339
124,Cycling,2023-11-02 21:38:28,Urbandale Cycling,13.16,278,149,168,24.9,38.3,46,60,00:31:42,00:31:50,0.0,0.0,1698961108
125,Cycling,2023-11-02 17:57:16,Johnston Cycling,10.1,237,149,168,22.5,34.6,70,59,00:26:47,00:28:00,0.0,0.0,1698947836
126,Cycling,2023-11-02 06:20:36,Des Moines Cycling,18.33,403,148,176,21.3,34.1,264,221,00:51:00,00:54:55,0.0,0.0,1698906036
127,Virtual Cycling,2023-11-01 18:48:38,Zwift - Sprinter s Playground in Makuri Islands,12.53,211,--,--,32.3,49.8,67,--,00:23:15,00:23:16,0.0,0.0,1698864518
128,Virtual Cycling,2023-11-01 18:31:55,Zwift - Loch Loop in Scotland,8.23,142,--,--,31.3,54.8,71,--,00:15:43,00:15:45,0.0,0.0,1698863515
129,Virtual Cycling,2023-11-01 18:02:22,Zwift - Rolling Highlands in Scotland,14.22,227,--,--,31.6,54.7,105,--,00:26:57,00:26:57,0.0,0.0,1698861742
130,Cycling,2023-11-01 15:35:10,Urbandale Cycling,21.84,415,145,166,25.3,41.9,31,76,00:51:21,00:55:13,0.0,0.0,1698852910
131,Cycling,2023-11-01 06:38:53,Johnston Cycling,3.86,97,151,171,21.6,30.1,24,7,00:10:37,00:11:19,0.0,0.0,1698820733
132,Cycling,2023-11-01 05:41:17,Des Moines Cycling,20.15,460,152,168,23.7,35.4,93,107,00:50:40,00:51:23,0.0,0.0,1698817277
